MOLECULE_NAME,SMILES,CHILOGD_10.5
302-542-04,Cc1cc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)n(C)c2n1,4.53
302-543-01,OC1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.11
302-548-01,O=C(C1CC1)N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.62
302-549-01,Cc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCC(CC3)C(C)(C)O)n(C)c2n1,3.46
302-553-02,CN(C)C1CCN(Cc2nc3c(nc(nc3n2C)-c2c[nH]c3ccccc23)N2CCOCC2)CC1,4.9
302-554-02,Cn1c(CN2CCC(CC2)C(C)(C)O)nc2c(nc(nc12)-c1c[nH]c2ccccc12)N1CCOCC1,3.41
302-555-02,CN(C)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2c[nH]c3ccccc23)CC1,5.73
302-556-01,CC(C)(O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2c[nH]c3ccccc23)CC1,2.63
302-557-01,CC(C)(N1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12)C(N)=O,2.28
302-558-01,OCC1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.21
302-560-01,CC(C)(O)C1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.41
302-561-01,CNC(=O)CN1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.1
302-562-01,O=C(N1CCC(CC1)N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.26
302-563-01,CC1(O)CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.23
302-564-01,NC(=O)C1CCN(CC1)C(=O)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.02
302-565-01,FC(F)c1nc2ccccc2n1-c1cc(N2CCOCC2)n2nc(cc2n1)C(=O)N1CCN(CC1)C(=O)C1CC1,2.51
302-566-01,C(N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.38
302-567-01,OC1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.15
302-568-01,CNC(=O)CN1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.13
302-569-01,C(N1CCC(CC1)N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.52
302-570-01,NC(=O)C1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.1
302-571-01,CC1(O)CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)CC1,2.22
302-572-01,O=C(N1CCOCC1)c1cc2nc(cc(N3CCOCC3)n2n1)-c1cccc2[nH]ccc12,2.39
302-573-01,[H][C@@]1(O)CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)C1,2.07
302-574-01,[H][C@]1(O)CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-c2cccc3[nH]ccc23)C1,2.08
302-577-01,CC(C)(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)N2c3ccccc3NC2(O)C(F)F)CC1,2.69
302-578-01,CN1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,2.54
302-579-01,CC(C)N1CCN(Cc2cc3nc(cc(N4CCOCC4)n3n2)-n2c(nc3ccccc23)C(F)F)CC1,3.08
302-580-01,Cc1c(nn2c(cc(nc12)-n1c(nc2ccccc12)C(F)F)N1CCOCC1)C(=O)N1CCC(CC1)N1CCOCC1,2.69
305-632-02,[H][C@]1(O)CC[C@@]([H])(CC1)n1cc(NCCCC)c2cnc(nc12)-c1cnn(c1)C1CCN(C)CC1,2.31
305-645-02,CN1CCN(Cc2ccc(s2)-c2ncc3c(NCCCC(F)(F)F)cn(C4CC[C@H](O)CC4)c3n2)CC1,2.98
305-646-02,O[C@H]1CCC(CC1)n1cc(NCCCC(F)(F)F)c2cnc(nc12)-c1ccc(CN2CCOCC2)s1,3
305-683-02,CCCCNc1cn(C2CC[C@H](O)CC2)c2nc(ncc12)-c1ccc(cc1)C(=O)N1CCOCC1,2.34
305-687-01,CN1CCN(Cc2ccc(cc2)-c2ncc3c(cn([C@H]4CC[C@H](O)CC4)c3n2)[N+]([O-])=O)CC1,2.45
305-712-02,CN1CCN(Cc2ccc(cc2)-c2ncc3c(NC(=O)CC=C)cn([C@H]4CC[C@H](O)CC4)c3n2)CC1,1.67
305-719-01,CN1CCN(Cc2ccc(cc2)-c2ncc3c(NC(=O)CC4CC4)cn(C4CC[C@H](O)CC4)c3n2)CC1,1.82
